LTER_site,local_site,logger,date,yr,mon,doy,met,c1cr_temp,c1cr_flag,qa_temp,qa_flag
NWT,c1,cr21x,1986-10-28,1986,10,301,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-10-29,1986,10,302,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-10-30,1986,10,303,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-10-31,1986,10,304,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-01,1986,11,305,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-02,1986,11,306,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-03,1986,11,307,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-04,1986,11,308,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-05,1986,11,309,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-06,1986,11,310,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-07,1986,11,311,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-08,1986,11,312,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-09,1986,11,313,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-10,1986,11,314,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-11,1986,11,315,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-12,1986,11,316,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-13,1986,11,317,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-14,1986,11,318,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-15,1986,11,319,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-16,1986,11,320,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-17,1986,11,321,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-18,1986,11,322,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-19,1986,11,323,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-20,1986,11,324,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-21,1986,11,325,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-22,1986,11,326,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-23,1986,11,327,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-24,1986,11,328,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-25,1986,11,329,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-26,1986,11,330,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-27,1986,11,331,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-28,1986,11,332,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-29,1986,11,333,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-11-30,1986,11,334,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-01,1986,12,335,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-02,1986,12,336,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-03,1986,12,337,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-04,1986,12,338,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-05,1986,12,339,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-06,1986,12,340,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-07,1986,12,341,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-08,1986,12,342,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-09,1986,12,343,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-10,1986,12,344,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-11,1986,12,345,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-12,1986,12,346,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-13,1986,12,347,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-14,1986,12,348,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-15,1986,12,349,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-16,1986,12,350,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-17,1986,12,351,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-18,1986,12,352,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-19,1986,12,353,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-20,1986,12,354,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-21,1986,12,355,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-22,1986,12,356,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-23,1986,12,357,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-24,1986,12,358,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-25,1986,12,359,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-26,1986,12,360,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-27,1986,12,361,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-28,1986,12,362,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-29,1986,12,363,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-30,1986,12,364,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1986-12-31,1986,12,365,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-01,1987,1,1,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-02,1987,1,2,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-03,1987,1,3,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-04,1987,1,4,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-05,1987,1,5,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-06,1987,1,6,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-07,1987,1,7,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-08,1987,1,8,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-09,1987,1,9,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-10,1987,1,10,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-11,1987,1,11,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-12,1987,1,12,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-13,1987,1,13,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-14,1987,1,14,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-15,1987,1,15,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-16,1987,1,16,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-17,1987,1,17,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-18,1987,1,18,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-19,1987,1,19,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-20,1987,1,20,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-21,1987,1,21,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-22,1987,1,22,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-23,1987,1,23,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-24,1987,1,24,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-25,1987,1,25,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-26,1987,1,26,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-27,1987,1,27,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-28,1987,1,28,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-29,1987,1,29,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-30,1987,1,30,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-01-31,1987,1,31,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-01,1987,2,32,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-02,1987,2,33,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-03,1987,2,34,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-04,1987,2,35,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-05,1987,2,36,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-06,1987,2,37,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-07,1987,2,38,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-08,1987,2,39,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-09,1987,2,40,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-10,1987,2,41,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-11,1987,2,42,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-12,1987,2,43,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-13,1987,2,44,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-14,1987,2,45,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-15,1987,2,46,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-16,1987,2,47,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-17,1987,2,48,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-18,1987,2,49,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-19,1987,2,50,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-20,1987,2,51,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-21,1987,2,52,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-22,1987,2,53,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-23,1987,2,54,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-24,1987,2,55,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-25,1987,2,56,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-26,1987,2,57,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-27,1987,2,58,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-02-28,1987,2,59,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-01,1987,3,60,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-02,1987,3,61,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-03,1987,3,62,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-04,1987,3,63,airtemp_max,NA,NA,NA,NA
NWT,c1,cr21x,1987-03-05,1987,3,64,airtemp_max,NA,NA,NA,NA
