LTER_site,local_site,date,yr,mon,doy,met,d1_temp,d1_flag,qa_temp,qa_flag
NWT,d1,1952-01-01,1952,1,1,airtemp_max,-14.22357609,D,NA,NA
NWT,d1,1952-01-02,1952,1,2,airtemp_max,-16.79571901,D,NA,NA
NWT,d1,1952-01-03,1952,1,3,airtemp_max,-19.07601269,D,NA,NA
NWT,d1,1952-01-04,1952,1,4,airtemp_max,-13.68368099,D,NA,NA
NWT,d1,1952-01-05,1952,1,5,airtemp_max,-14.15239542,D,NA,NA
NWT,d1,1952-01-06,1952,1,6,airtemp_max,-9.752623601,D,NA,NA
NWT,d1,1952-01-07,1952,1,7,airtemp_max,-7.019791537,D,NA,NA
NWT,d1,1952-01-08,1952,1,8,airtemp_max,-7.84653573,D,NA,NA
NWT,d1,1952-01-09,1952,1,9,airtemp_max,-13.45251369,D,NA,NA
NWT,d1,1952-01-10,1952,1,10,airtemp_max,-7.402578454,D,NA,NA
NWT,d1,1952-01-11,1952,1,11,airtemp_max,-5.512853425,D,NA,NA
NWT,d1,1952-01-12,1952,1,12,airtemp_max,-7.31080316,D,NA,NA
NWT,d1,1952-01-13,1952,1,13,airtemp_max,-5.114011006,D,NA,NA
NWT,d1,1952-01-14,1952,1,14,airtemp_max,-8.177437657,D,NA,NA
NWT,d1,1952-01-15,1952,1,15,airtemp_max,-9.884247864,D,NA,NA
NWT,d1,1952-01-16,1952,1,16,airtemp_max,-6.050473973,D,NA,NA
NWT,d1,1952-01-17,1952,1,17,airtemp_max,-9.58925284,D,NA,NA
NWT,d1,1952-01-18,1952,1,18,airtemp_max,-7.51174159,D,NA,NA
NWT,d1,1952-01-19,1952,1,19,airtemp_max,-4.878476399,D,NA,NA
NWT,d1,1952-01-20,1952,1,20,airtemp_max,-10.32492633,D,NA,NA
NWT,d1,1952-01-21,1952,1,21,airtemp_max,-10.01651426,D,NA,NA
NWT,d1,1952-01-22,1952,1,22,airtemp_max,-14.91517818,D,NA,NA
NWT,d1,1952-01-23,1952,1,23,airtemp_max,-10.26632583,D,NA,NA
NWT,d1,1952-01-24,1952,1,24,airtemp_max,-6.741889954,D,NA,NA
NWT,d1,1952-01-25,1952,1,25,airtemp_max,-8.19927426,D,NA,NA
NWT,d1,1952-01-26,1952,1,26,airtemp_max,-9.878764789,D,NA,NA
NWT,d1,1952-01-27,1952,1,27,airtemp_max,-8.579300801,D,NA,NA
NWT,d1,1952-01-28,1952,1,28,airtemp_max,-8.705220067,D,NA,NA
NWT,d1,1952-01-29,1952,1,29,airtemp_max,-7.352463506,D,NA,NA
NWT,d1,1952-01-30,1952,1,30,airtemp_max,-8.218580681,D,NA,NA
NWT,d1,1952-01-31,1952,1,31,airtemp_max,-5.89629618,D,NA,NA
NWT,d1,1952-02-01,1952,2,32,airtemp_max,-6.674718087,D,NA,NA
NWT,d1,1952-02-02,1952,2,33,airtemp_max,-5.698655356,D,NA,NA
NWT,d1,1952-02-03,1952,2,34,airtemp_max,-10.57719363,D,NA,NA
NWT,d1,1952-02-04,1952,2,35,airtemp_max,-9.148096404,D,NA,NA
NWT,d1,1952-02-05,1952,2,36,airtemp_max,-9.323445129,D,NA,NA
NWT,d1,1952-02-06,1952,2,37,airtemp_max,-10.22265285,D,NA,NA
NWT,d1,1952-02-07,1952,2,38,airtemp_max,-6.428311895,D,NA,NA
NWT,d1,1952-02-08,1952,2,39,airtemp_max,-6.722762335,D,NA,NA
NWT,d1,1952-02-09,1952,2,40,airtemp_max,-6.019033919,D,NA,NA
NWT,d1,1952-02-10,1952,2,41,airtemp_max,-5.172050284,D,NA,NA
NWT,d1,1952-02-11,1952,2,42,airtemp_max,-7.555624708,D,NA,NA
NWT,d1,1952-02-12,1952,2,43,airtemp_max,-7.709467466,D,NA,NA
NWT,d1,1952-02-13,1952,2,44,airtemp_max,-9.431072009,D,NA,NA
NWT,d1,1952-02-14,1952,2,45,airtemp_max,-13.10778969,D,NA,NA
NWT,d1,1952-02-15,1952,2,46,airtemp_max,-13.3452912,D,NA,NA
NWT,d1,1952-02-16,1952,2,47,airtemp_max,-11.34787706,D,NA,NA
NWT,d1,1952-02-17,1952,2,48,airtemp_max,-8.068491088,D,NA,NA
NWT,d1,1952-02-18,1952,2,49,airtemp_max,-10.30634153,D,NA,NA
NWT,d1,1952-02-19,1952,2,50,airtemp_max,-13.20686189,D,NA,NA
NWT,d1,1952-02-20,1952,2,51,airtemp_max,-14.07247869,D,NA,NA
NWT,d1,1952-02-21,1952,2,52,airtemp_max,-12.86515914,D,NA,NA
NWT,d1,1952-02-22,1952,2,53,airtemp_max,-11.04942269,D,NA,NA
NWT,d1,1952-02-23,1952,2,54,airtemp_max,-11.78909428,D,NA,NA
NWT,d1,1952-02-24,1952,2,55,airtemp_max,-14.54091963,D,NA,NA
NWT,d1,1952-02-25,1952,2,56,airtemp_max,-13.91558307,D,NA,NA
NWT,d1,1952-02-26,1952,2,57,airtemp_max,-7.830484732,D,NA,NA
NWT,d1,1952-02-27,1952,2,58,airtemp_max,-6.657751316,D,NA,NA
NWT,d1,1952-02-28,1952,2,59,airtemp_max,-6.574456311,D,NA,NA
NWT,d1,1952-02-29,1952,2,60,airtemp_max,-12.84300529,D,NA,NA
NWT,d1,1952-03-01,1952,3,61,airtemp_max,-9.136147624,D,NA,NA
NWT,d1,1952-03-02,1952,3,62,airtemp_max,-14.94335744,D,NA,NA
NWT,d1,1952-03-03,1952,3,63,airtemp_max,-14.2801919,D,NA,NA
NWT,d1,1952-03-04,1952,3,64,airtemp_max,-11.43836194,D,NA,NA
NWT,d1,1952-03-05,1952,3,65,airtemp_max,-9.575541809,D,NA,NA
NWT,d1,1952-03-06,1952,3,66,airtemp_max,-8.891610345,D,NA,NA
NWT,d1,1952-03-07,1952,3,67,airtemp_max,-9.128305872,D,NA,NA
NWT,d1,1952-03-08,1952,3,68,airtemp_max,-6.921268196,D,NA,NA
NWT,d1,1952-03-09,1952,3,69,airtemp_max,-7.87566596,D,NA,NA
NWT,d1,1952-03-10,1952,3,70,airtemp_max,-7.529882589,D,NA,NA
NWT,d1,1952-03-11,1952,3,71,airtemp_max,-6.974358556,D,NA,NA
NWT,d1,1952-03-12,1952,3,72,airtemp_max,-10.7356308,D,NA,NA
NWT,d1,1952-03-13,1952,3,73,airtemp_max,-10.63679032,D,NA,NA
NWT,d1,1952-03-14,1952,3,74,airtemp_max,-11.34992267,D,NA,NA
NWT,d1,1952-03-15,1952,3,75,airtemp_max,-10.2436003,D,NA,NA
NWT,d1,1952-03-16,1952,3,76,airtemp_max,-5.813726828,D,NA,NA
NWT,d1,1952-03-17,1952,3,77,airtemp_max,-9.37087546,D,NA,NA
NWT,d1,1952-03-18,1952,3,78,airtemp_max,-8.016199207,D,NA,NA
NWT,d1,1952-03-19,1952,3,79,airtemp_max,-9.139294863,D,NA,NA
NWT,d1,1952-03-20,1952,3,80,airtemp_max,-13.569773,D,NA,NA
NWT,d1,1952-03-21,1952,3,81,airtemp_max,-15.43622539,D,NA,NA
NWT,d1,1952-03-22,1952,3,82,airtemp_max,-18.7892318,D,NA,NA
NWT,d1,1952-03-23,1952,3,83,airtemp_max,-14.73482719,D,NA,NA
NWT,d1,1952-03-24,1952,3,84,airtemp_max,-11.14206537,D,NA,NA
NWT,d1,1952-03-25,1952,3,85,airtemp_max,-11.05196548,D,NA,NA
NWT,d1,1952-03-26,1952,3,86,airtemp_max,-4.743710004,D,NA,NA
NWT,d1,1952-03-27,1952,3,87,airtemp_max,-8.901561683,D,NA,NA
NWT,d1,1952-03-28,1952,3,88,airtemp_max,-4.744095093,D,NA,NA
NWT,d1,1952-03-29,1952,3,89,airtemp_max,-2.222963697,D,NA,NA
NWT,d1,1952-03-30,1952,3,90,airtemp_max,-4.626817686,D,NA,NA
NWT,d1,1952-03-31,1952,3,91,airtemp_max,-5.573776256,D,NA,NA
NWT,d1,1952-04-01,1952,4,92,airtemp_max,-7.791503414,D,NA,NA
NWT,d1,1952-04-02,1952,4,93,airtemp_max,-10.21480163,D,NA,NA
NWT,d1,1952-04-03,1952,4,94,airtemp_max,-4.36052555,D,NA,NA
NWT,d1,1952-04-04,1952,4,95,airtemp_max,-4.875199553,D,NA,NA
NWT,d1,1952-04-05,1952,4,96,airtemp_max,-5.63735273,D,NA,NA
NWT,d1,1952-04-06,1952,4,97,airtemp_max,-4.705110691,D,NA,NA
NWT,d1,1952-04-07,1952,4,98,airtemp_max,2.672271973,D,NA,NA
NWT,d1,1952-04-08,1952,4,99,airtemp_max,-2.153779859,D,NA,NA
NWT,d1,1952-04-09,1952,4,100,airtemp_max,-11.59989129,D,NA,NA
NWT,d1,1952-04-10,1952,4,101,airtemp_max,-5.102364549,D,NA,NA
NWT,d1,1952-04-11,1952,4,102,airtemp_max,-4.106467294,D,NA,NA
NWT,d1,1952-04-12,1952,4,103,airtemp_max,-5.456461795,D,NA,NA
NWT,d1,1952-04-13,1952,4,104,airtemp_max,-6.951394802,D,NA,NA
NWT,d1,1952-04-14,1952,4,105,airtemp_max,-2.069096379,D,NA,NA
NWT,d1,1952-04-15,1952,4,106,airtemp_max,-1.299046384,D,NA,NA
NWT,d1,1952-04-16,1952,4,107,airtemp_max,-3.176765334,D,NA,NA
NWT,d1,1952-04-17,1952,4,108,airtemp_max,-1.84202752,D,NA,NA
NWT,d1,1952-04-18,1952,4,109,airtemp_max,-0.212162363,D,NA,NA
NWT,d1,1952-04-19,1952,4,110,airtemp_max,0.833846373,D,NA,NA
NWT,d1,1952-04-20,1952,4,111,airtemp_max,1.158654794,D,NA,NA
NWT,d1,1952-04-21,1952,4,112,airtemp_max,-1.81321951,D,NA,NA
