LTER_site,local_site,logger,date,yr,mon,doy,met,d1cr_temp,d1cr_flag,qa_temp,qa_flag
NWT,d1,cr21x,1986-10-13,1986,10,286,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-14,1986,10,287,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-15,1986,10,288,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-16,1986,10,289,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-17,1986,10,290,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-18,1986,10,291,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-19,1986,10,292,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-20,1986,10,293,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-21,1986,10,294,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-22,1986,10,295,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-23,1986,10,296,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-24,1986,10,297,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-25,1986,10,298,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-26,1986,10,299,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-27,1986,10,300,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-28,1986,10,301,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-29,1986,10,302,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-30,1986,10,303,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-10-31,1986,10,304,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-01,1986,11,305,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-02,1986,11,306,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-03,1986,11,307,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-04,1986,11,308,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-05,1986,11,309,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-06,1986,11,310,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-07,1986,11,311,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-08,1986,11,312,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-09,1986,11,313,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-10,1986,11,314,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-11,1986,11,315,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-12,1986,11,316,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-13,1986,11,317,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-14,1986,11,318,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-15,1986,11,319,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-16,1986,11,320,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-17,1986,11,321,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-18,1986,11,322,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-19,1986,11,323,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-20,1986,11,324,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-21,1986,11,325,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-22,1986,11,326,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-23,1986,11,327,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-24,1986,11,328,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-25,1986,11,329,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-26,1986,11,330,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-27,1986,11,331,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-28,1986,11,332,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-29,1986,11,333,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-11-30,1986,11,334,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-01,1986,12,335,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-02,1986,12,336,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-03,1986,12,337,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-04,1986,12,338,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-05,1986,12,339,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-06,1986,12,340,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-07,1986,12,341,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-08,1986,12,342,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-09,1986,12,343,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-10,1986,12,344,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-11,1986,12,345,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-12,1986,12,346,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-13,1986,12,347,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-14,1986,12,348,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-15,1986,12,349,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-16,1986,12,350,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-17,1986,12,351,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-18,1986,12,352,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-19,1986,12,353,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-20,1986,12,354,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-21,1986,12,355,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-22,1986,12,356,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-23,1986,12,357,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-24,1986,12,358,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-25,1986,12,359,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-26,1986,12,360,airtemp_max,NA,NA,NA,NA
NWT,d1,cr21x,1986-12-27,1986,12,361,airtemp_max,NA,NA,NA,NA
