LTER_site,local_site,date,yr,mon,doy,met,sdl_temp,sdl_flag,sdl_qatemp,qa_flag,daysflat
NWT,sdl,1981-07-09,1981,7,190,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-07-10,1981,7,191,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-07-11,1981,7,192,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-07-12,1981,7,193,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-07-13,1981,7,194,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-07-14,1981,7,195,airtemp_max,12.8,2,12.8,NA,NA
NWT,sdl,1981-07-15,1981,7,196,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-07-16,1981,7,197,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-07-17,1981,7,198,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-07-18,1981,7,199,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-07-19,1981,7,200,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-07-20,1981,7,201,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-07-21,1981,7,202,airtemp_max,16,NA,16,NA,NA
NWT,sdl,1981-07-22,1981,7,203,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-07-23,1981,7,204,airtemp_max,17,1,17,NA,NA
NWT,sdl,1981-07-24,1981,7,205,airtemp_max,11,1,11,NA,NA
NWT,sdl,1981-07-25,1981,7,206,airtemp_max,12,1,12,NA,NA
NWT,sdl,1981-07-26,1981,7,207,airtemp_max,4.8,2,4.8,NA,NA
NWT,sdl,1981-07-27,1981,7,208,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-07-28,1981,7,209,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-07-29,1981,7,210,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-07-30,1981,7,211,airtemp_max,17,NA,17,NA,NA
NWT,sdl,1981-07-31,1981,7,212,airtemp_max,17,NA,17,NA,NA
NWT,sdl,1981-08-01,1981,8,213,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-08-02,1981,8,214,airtemp_max,17,NA,17,NA,NA
NWT,sdl,1981-08-03,1981,8,215,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-08-04,1981,8,216,airtemp_max,17,NA,17,NA,NA
NWT,sdl,1981-08-05,1981,8,217,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-08-06,1981,8,218,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-08-07,1981,8,219,airtemp_max,7,NA,7,NA,NA
NWT,sdl,1981-08-08,1981,8,220,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-08-09,1981,8,221,airtemp_max,7,1,7,NA,NA
NWT,sdl,1981-08-10,1981,8,222,airtemp_max,5,NA,5,NA,NA
NWT,sdl,1981-08-11,1981,8,223,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-08-12,1981,8,224,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-08-13,1981,8,225,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-08-14,1981,8,226,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-08-15,1981,8,227,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-08-16,1981,8,228,airtemp_max,10,1,10,NA,NA
NWT,sdl,1981-08-17,1981,8,229,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-08-18,1981,8,230,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-08-19,1981,8,231,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-08-20,1981,8,232,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-08-21,1981,8,233,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-08-22,1981,8,234,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-08-23,1981,8,235,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-08-24,1981,8,236,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-08-25,1981,8,237,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-08-26,1981,8,238,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-08-27,1981,8,239,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-08-28,1981,8,240,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-08-29,1981,8,241,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-08-30,1981,8,242,airtemp_max,15,NA,15,NA,NA
NWT,sdl,1981-08-31,1981,8,243,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-09-01,1981,9,244,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-09-02,1981,9,245,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-09-03,1981,9,246,airtemp_max,8,NA,8,NA,NA
NWT,sdl,1981-09-04,1981,9,247,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-09-05,1981,9,248,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-06,1981,9,249,airtemp_max,8,NA,8,NA,NA
NWT,sdl,1981-09-07,1981,9,250,airtemp_max,3,NA,3,NA,NA
NWT,sdl,1981-09-08,1981,9,251,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-09,1981,9,252,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-09-10,1981,9,253,airtemp_max,8,NA,8,NA,NA
NWT,sdl,1981-09-11,1981,9,254,airtemp_max,8,NA,8,NA,NA
NWT,sdl,1981-09-12,1981,9,255,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-13,1981,9,256,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-09-14,1981,9,257,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-09-15,1981,9,258,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-09-16,1981,9,259,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-09-17,1981,9,260,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-09-18,1981,9,261,airtemp_max,14,NA,14,NA,NA
NWT,sdl,1981-09-19,1981,9,262,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-20,1981,9,263,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-21,1981,9,264,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-09-22,1981,9,265,airtemp_max,12,NA,12,NA,NA
NWT,sdl,1981-09-23,1981,9,266,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-24,1981,9,267,airtemp_max,10,NA,10,NA,NA
NWT,sdl,1981-09-25,1981,9,268,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-09-26,1981,9,269,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-09-27,1981,9,270,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-28,1981,9,271,airtemp_max,13,NA,13,NA,NA
NWT,sdl,1981-09-29,1981,9,272,airtemp_max,11,NA,11,NA,NA
NWT,sdl,1981-09-30,1981,9,273,airtemp_max,7,NA,7,NA,NA
NWT,sdl,1981-10-01,1981,10,274,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-10-02,1981,10,275,airtemp_max,8,NA,8,NA,NA
NWT,sdl,1981-10-03,1981,10,276,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-10-04,1981,10,277,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-10-05,1981,10,278,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-10-06,1981,10,279,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-10-07,1981,10,280,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-10-08,1981,10,281,airtemp_max,4,NA,4,NA,NA
NWT,sdl,1981-10-09,1981,10,282,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-10-10,1981,10,283,airtemp_max,6,NA,6,NA,NA
NWT,sdl,1981-10-11,1981,10,284,airtemp_max,9,NA,9,NA,NA
NWT,sdl,1981-10-12,1981,10,285,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-10-13,1981,10,286,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-10-14,1981,10,287,airtemp_max,-1,NA,-1,NA,NA
NWT,sdl,1981-10-15,1981,10,288,airtemp_max,-2,NA,-2,NA,NA
NWT,sdl,1981-10-16,1981,10,289,airtemp_max,-4,NA,-4,NA,NA
NWT,sdl,1981-10-17,1981,10,290,airtemp_max,-4,NA,-4,NA,NA
NWT,sdl,1981-10-18,1981,10,291,airtemp_max,-4,NA,-4,NA,NA
NWT,sdl,1981-10-19,1981,10,292,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-10-20,1981,10,293,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-10-21,1981,10,294,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-10-22,1981,10,295,airtemp_max,-3,NA,-3,NA,NA
NWT,sdl,1981-10-23,1981,10,296,airtemp_max,-1,NA,-1,NA,NA
NWT,sdl,1981-10-24,1981,10,297,airtemp_max,-4,NA,-4,NA,NA
NWT,sdl,1981-10-25,1981,10,298,airtemp_max,-7,NA,-7,NA,NA
NWT,sdl,1981-10-26,1981,10,299,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-10-27,1981,10,300,airtemp_max,7,NA,7,NA,NA
NWT,sdl,1981-10-28,1981,10,301,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-10-29,1981,10,302,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-10-30,1981,10,303,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-10-31,1981,10,304,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-11-01,1981,11,305,airtemp_max,-1,NA,-1,NA,NA
NWT,sdl,1981-11-02,1981,11,306,airtemp_max,3,NA,3,NA,NA
NWT,sdl,1981-11-03,1981,11,307,airtemp_max,4,NA,4,NA,NA
NWT,sdl,1981-11-04,1981,11,308,airtemp_max,3,NA,3,NA,NA
NWT,sdl,1981-11-05,1981,11,309,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-11-06,1981,11,310,airtemp_max,-7,NA,-7,NA,NA
NWT,sdl,1981-11-07,1981,11,311,airtemp_max,-10,NA,-10,NA,NA
NWT,sdl,1981-11-08,1981,11,312,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-11-09,1981,11,313,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-11-10,1981,11,314,airtemp_max,3,NA,3,NA,NA
NWT,sdl,1981-11-11,1981,11,315,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-11-12,1981,11,316,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-11-13,1981,11,317,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-11-14,1981,11,318,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-11-15,1981,11,319,airtemp_max,-2,NA,-2,NA,NA
NWT,sdl,1981-11-16,1981,11,320,airtemp_max,2,NA,2,NA,NA
NWT,sdl,1981-11-17,1981,11,321,airtemp_max,4,NA,4,NA,NA
NWT,sdl,1981-11-18,1981,11,322,airtemp_max,-3,NA,-3,NA,NA
NWT,sdl,1981-11-19,1981,11,323,airtemp_max,-11,NA,-11,NA,NA
NWT,sdl,1981-11-20,1981,11,324,airtemp_max,-6,NA,-6,NA,NA
NWT,sdl,1981-11-21,1981,11,325,airtemp_max,-6,NA,-6,NA,NA
NWT,sdl,1981-11-22,1981,11,326,airtemp_max,-3,1,-3,NA,NA
NWT,sdl,1981-11-23,1981,11,327,airtemp_max,-3,NA,-3,NA,NA
NWT,sdl,1981-11-24,1981,11,328,airtemp_max,1,NA,1,NA,NA
NWT,sdl,1981-11-25,1981,11,329,airtemp_max,-2,NA,-2,NA,NA
NWT,sdl,1981-11-26,1981,11,330,airtemp_max,-7,NA,-7,NA,NA
NWT,sdl,1981-11-27,1981,11,331,airtemp_max,-6,NA,-6,NA,NA
NWT,sdl,1981-11-28,1981,11,332,airtemp_max,-7,NA,-7,NA,NA
NWT,sdl,1981-11-29,1981,11,333,airtemp_max,-6,NA,-6,NA,NA
NWT,sdl,1981-11-30,1981,11,334,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-12-01,1981,12,335,airtemp_max,-20,NA,-20,NA,NA
NWT,sdl,1981-12-02,1981,12,336,airtemp_max,-11,2,-11,NA,NA
NWT,sdl,1981-12-03,1981,12,337,airtemp_max,-10,1,-10,NA,NA
NWT,sdl,1981-12-04,1981,12,338,airtemp_max,-1,1,-1,NA,NA
NWT,sdl,1981-12-05,1981,12,339,airtemp_max,-3,1,-3,NA,NA
NWT,sdl,1981-12-06,1981,12,340,airtemp_max,-1,1,-1,NA,NA
NWT,sdl,1981-12-07,1981,12,341,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-12-08,1981,12,342,airtemp_max,0,NA,0,NA,NA
NWT,sdl,1981-12-09,1981,12,343,airtemp_max,3,NA,3,NA,NA
NWT,sdl,1981-12-10,1981,12,344,airtemp_max,-2,NA,-2,NA,NA
