"","LTER_site","local_site","date","yr","mon","day","ppt_tot","source"
"1","NWT","sdl",1981-07-31,1981,7,31,1,"NSF proposal data"
"2","NWT","sdl",1981-08-01,1981,8,1,0,"NSF proposal data"
"3","NWT","sdl",1981-08-02,1981,8,2,0,"NSF proposal data"
"4","NWT","sdl",1981-08-03,1981,8,3,1,"NSF proposal data"
"5","NWT","sdl",1981-08-04,1981,8,4,0,"NSF proposal data"
"6","NWT","sdl",1981-08-05,1981,8,5,0,"NSF proposal data"
"7","NWT","sdl",1981-08-06,1981,8,6,0,"NSF proposal data"
"8","NWT","sdl",1981-08-07,1981,8,7,1,"NSF proposal data"
"9","NWT","sdl",1981-08-08,1981,8,8,2,"NSF proposal data"
"10","NWT","sdl",1981-08-09,1981,8,9,7,"NSF proposal data"
"11","NWT","sdl",1981-08-10,1981,8,10,1,"NSF proposal data"
"12","NWT","sdl",1981-08-11,1981,8,11,0,"NSF proposal data"
"13","NWT","sdl",1981-08-12,1981,8,12,0,"NSF proposal data"
"14","NWT","sdl",1981-08-13,1981,8,13,0,"NSF proposal data"
"15","NWT","sdl",1981-08-14,1981,8,14,0,"NSF proposal data"
"16","NWT","sdl",1981-08-15,1981,8,15,0,"NSF proposal data"
"17","NWT","sdl",1981-08-16,1981,8,16,0,"NSF proposal data"
"18","NWT","sdl",1981-08-17,1981,8,17,15,"NSF proposal data"
"19","NWT","sdl",1981-08-18,1981,8,18,3,"NSF proposal data"
"20","NWT","sdl",1981-08-19,1981,8,19,2,"NSF proposal data"
"21","NWT","sdl",1981-08-20,1981,8,20,0,"NSF proposal data"
"22","NWT","sdl",1981-08-21,1981,8,21,11,"NSF proposal data"
"23","NWT","sdl",1981-08-22,1981,8,22,1,"NSF proposal data"
"24","NWT","sdl",1981-08-23,1981,8,23,3,"NSF proposal data"
"25","NWT","sdl",1981-08-24,1981,8,24,0,"NSF proposal data"
"26","NWT","sdl",1981-08-25,1981,8,25,0,"NSF proposal data"
"27","NWT","sdl",1981-08-26,1981,8,26,3,"NSF proposal data"
"28","NWT","sdl",1981-08-27,1981,8,27,5,"NSF proposal data"
"29","NWT","sdl",1981-08-28,1981,8,28,1,"NSF proposal data"
"30","NWT","sdl",1981-08-29,1981,8,29,1,"NSF proposal data"
"31","NWT","sdl",1981-08-30,1981,8,30,2,"NSF proposal data"
"32","NWT","sdl",1981-08-31,1981,8,31,6,"NSF proposal data"
"33","NWT","sdl",1981-09-01,1981,9,1,0,"NSF proposal data"
"34","NWT","sdl",1981-09-02,1981,9,2,5.85,"NSF proposal data"
"35","NWT","sdl",1981-09-03,1981,9,3,1.56,"NSF proposal data"
"36","NWT","sdl",1981-09-04,1981,9,4,0,"NSF proposal data"
"37","NWT","sdl",1981-09-05,1981,9,5,4.29,"NSF proposal data"
"38","NWT","sdl",1981-09-06,1981,9,6,1.56,"NSF proposal data"
"39","NWT","sdl",1981-09-07,1981,9,7,0,"NSF proposal data"
"40","NWT","sdl",1981-09-08,1981,9,8,0.39,"NSF proposal data"
"41","NWT","sdl",1981-09-09,1981,9,9,0.78,"NSF proposal data"
"42","NWT","sdl",1981-09-10,1981,9,10,0.39,"NSF proposal data"
"43","NWT","sdl",1981-09-11,1981,9,11,0.39,"NSF proposal data"
"44","NWT","sdl",1981-09-12,1981,9,12,0,"NSF proposal data"
"45","NWT","sdl",1981-09-13,1981,9,13,0,"NSF proposal data"
"46","NWT","sdl",1981-09-14,1981,9,14,0,"NSF proposal data"
"47","NWT","sdl",1981-09-15,1981,9,15,0,"NSF proposal data"
"48","NWT","sdl",1981-09-16,1981,9,16,0,"NSF proposal data"
"49","NWT","sdl",1981-09-17,1981,9,17,0,"NSF proposal data"
"50","NWT","sdl",1981-09-18,1981,9,18,0,"NSF proposal data"
"51","NWT","sdl",1981-09-19,1981,9,19,0,"NSF proposal data"
"52","NWT","sdl",1981-09-20,1981,9,20,0.39,"NSF proposal data"
"53","NWT","sdl",1981-09-21,1981,9,21,1.95,"NSF proposal data"
"54","NWT","sdl",1981-09-22,1981,9,22,0,"NSF proposal data"
"55","NWT","sdl",1981-09-23,1981,9,23,0,"NSF proposal data"
"56","NWT","sdl",1981-09-24,1981,9,24,0.39,"NSF proposal data"
"57","NWT","sdl",1981-09-25,1981,9,25,0,"NSF proposal data"
"58","NWT","sdl",1981-09-26,1981,9,26,0.39,"NSF proposal data"
"59","NWT","sdl",1981-09-27,1981,9,27,0,"NSF proposal data"
"60","NWT","sdl",1981-09-28,1981,9,28,0,"NSF proposal data"
"61","NWT","sdl",1981-09-29,1981,9,29,0,"NSF proposal data"
"62","NWT","sdl",1981-09-30,1981,9,30,0,"NSF proposal data"
"63","NWT","sdl",1981-10-01,1981,10,1,0,"NSF proposal data"
"64","NWT","sdl",1981-10-02,1981,10,2,0,"NSF proposal data"
"65","NWT","sdl",1981-10-03,1981,10,3,0.78,"NSF proposal data"
"66","NWT","sdl",1981-10-04,1981,10,4,0.39,"NSF proposal data"
"67","NWT","sdl",1981-10-05,1981,10,5,0.78,"NSF proposal data"
"68","NWT","sdl",1981-10-06,1981,10,6,0,"NSF proposal data"
"69","NWT","sdl",1981-10-07,1981,10,7,0,"NSF proposal data"
"70","NWT","sdl",1981-10-08,1981,10,8,0.78,"NSF proposal data"
