"","LTER_site","local_site","date","airtemp_max","tmax_source_cw","airtemp_min","tmin_source_cw","airtemp_mean"
"1","NWT","sdl",1981-07-31,17,"NSF proposal data",6,"NSF proposal data",11.5
"2","NWT","sdl",1981-08-01,13,"NSF proposal data",7,"NSF proposal data",10
"3","NWT","sdl",1981-08-02,17,"NSF proposal data",7,"NSF proposal data",12
"4","NWT","sdl",1981-08-03,15,"NSF proposal data",7,"NSF proposal data",11
"5","NWT","sdl",1981-08-04,17,"NSF proposal data",8,"NSF proposal data",12.5
"6","NWT","sdl",1981-08-05,15,"NSF proposal data",6,"NSF proposal data",10.5
"7","NWT","sdl",1981-08-06,14,"NSF proposal data",1,"NSF proposal data",7.5
"8","NWT","sdl",1981-08-07,7,"NSF proposal data",0,"NSF proposal data",3.5
"9","NWT","sdl",1981-08-08,11,"NSF proposal data",-2,"NSF proposal data",4.5
"10","NWT","sdl",1981-08-09,7,"NSF proposal data",2,"NSF proposal data",4.5
"11","NWT","sdl",1981-08-10,5,"NSF proposal data",0,"NSF proposal data",2.5
"12","NWT","sdl",1981-08-11,6,"NSF proposal data",-1,"NSF proposal data",2.5
"13","NWT","sdl",1981-08-12,6,"NSF proposal data",2,"NSF proposal data",4
"14","NWT","sdl",1981-08-13,10,"NSF proposal data",2,"NSF proposal data",6
"15","NWT","sdl",1981-08-14,12,"NSF proposal data",3,"NSF proposal data",7.5
"16","NWT","sdl",1981-08-15,10,"NSF proposal data",2,"NSF proposal data",6
"17","NWT","sdl",1981-08-16,10,"NSF proposal data",3,"NSF proposal data",6.5
"18","NWT","sdl",1981-08-17,9,"NSF proposal data",2,"NSF proposal data",5.5
"19","NWT","sdl",1981-08-18,12,"NSF proposal data",2,"NSF proposal data",7
"20","NWT","sdl",1981-08-19,12,"NSF proposal data",3,"NSF proposal data",7.5
"21","NWT","sdl",1981-08-20,14,"NSF proposal data",5,"NSF proposal data",9.5
"22","NWT","sdl",1981-08-21,15,"NSF proposal data",3,"NSF proposal data",9
"23","NWT","sdl",1981-08-22,10,"NSF proposal data",1,"NSF proposal data",5.5
"24","NWT","sdl",1981-08-23,12,"NSF proposal data",2,"NSF proposal data",7
"25","NWT","sdl",1981-08-24,12,"NSF proposal data",5,"NSF proposal data",8.5
"26","NWT","sdl",1981-08-25,14,"NSF proposal data",5,"NSF proposal data",9.5
"27","NWT","sdl",1981-08-26,13,"NSF proposal data",3,"NSF proposal data",8
"28","NWT","sdl",1981-08-27,10,"NSF proposal data",1,"NSF proposal data",5.5
"29","NWT","sdl",1981-08-28,13,"NSF proposal data",2,"NSF proposal data",7.5
"30","NWT","sdl",1981-08-29,14,"NSF proposal data",4,"NSF proposal data",9
"31","NWT","sdl",1981-08-30,15,"NSF proposal data",3,"NSF proposal data",9
"32","NWT","sdl",1981-08-31,10,"NSF proposal data",-1,"NSF proposal data",4.5
"33","NWT","sdl",1981-09-01,10,"NSF proposal data",1,"NSF proposal data",5.5
"34","NWT","sdl",1981-09-02,12,"NSF proposal data",0,"NSF proposal data",6
